User,Condition,AttentionScore
User 10,RET,0.9275816506318858
User 10,RET,0.9128516787756138
User 10,RET,0.904927020165906
User 10,RET,0.9373464365887644
User 10,RET,0.9375645285355264
User 10,RET,0.9206996371659479
User 10,RET,0.9373155745564834
User 10,RET,0.918716806856001
User 10,RET,0.942505034198618
User 10,RET,0.9161565400579823
User 10,RET,0.9161977984510954
User 10,RET,0.9290342289134627
User 10,RET,0.9229924499437386
User 10,RET,0.9439435772276156
User 10,RET,0.917824015894355
User 10,RET,0.9218534878977895
User 10,RET,0.9076516330747912
User 10,RET,0.9173007148418956
User 10,RET,0.9200354696828176
User 10,RET,0.9338331104666351
User 10,RET,0.918001404013
User 10,RET,0.9344522282622223
User 10,RET,0.92188693359638
User 10,RET,0.9221391972404637
User 10,RET,0.9264083305466022
User 10,RET,0.9323789025976679
User 10,RET,0.9255938494612621
User 10,RET,0.9096716056132089
User 10,RET,0.9174635485041335
User 10,RET,0.9184687854208295
User 10,RET,0.9238765503418229
User 10,RET,0.914532705510588
User 10,RET,0.909574924888664
User 10,RET,0.9152465966384914
User 10,RET,0.9248057854716443
User 10,RET,0.9272584509108118
User 10,RET,0.9304255331856099
User 10,RET,0.91890726462438
User 10,RET,0.9259464510467944
User 10,RET,0.9242974331717855
User 10,RET,0.9124710917168215
User 10,RET,0.9250699672134507
User 10,RET,0.9205361655015517
User 10,RET,0.9213137040095232
User 10,RET,0.9344450206043642
User 10,RET,0.9145711699983989
User 10,RET,0.9207604228932917
User 10,RET,0.9327568846241203
User 10,RET,0.9273917859466828
User 10,RET,0.931952867484687
User 10,RET,0.9304140186346345
User 10,RET,0.9220199932644255
User 10,RET,0.9243747396262035
User 10,RET,0.9142067017834745
User 10,RET,0.9107603595344196
User 10,RET,0.9175869743204726
User 11,SHT,0.9297769615623988
User 11,SHT,0.8991206271445976
User 11,SHT,0.9174395836462377
User 11,SHT,0.9034776428361296
User 11,SHT,0.9076622585584012
User 11,SHT,0.9266511142556955
User 11,SHT,0.925949856880963
User 11,SHT,0.8933742480585646
User 11,SHT,0.8797536577974129
User 11,SHT,0.8761762867916973
User 11,SHT,0.8903616075418288
User 11,SHT,0.9266159757253881
User 11,SHT,0.8825660338118645
User 11,SHT,0.8930583880290497
User 11,SHT,0.8853538122857337
User 11,SHT,0.9058403643805206
User 11,SHT,0.8791407624056713
User 11,SHT,0.8770254588905393
User 11,SHT,0.9075091745534657
User 11,SHT,0.9080473955277392
User 11,SHT,0.9359635977783627
User 11,SHT,0.9137804688925316
User 11,SHT,0.9195142000650438
User 11,SHT,0.8936662268193137
User 11,SHT,0.891052082472151
User 11,SHT,0.9208339640366726
User 11,SHT,0.8934301806542917
User 11,SHT,0.9180773953251694
User 11,SHT,0.9248591225773732
User 11,SHT,0.9243718055204541
User 11,SHT,0.8996774730746082
User 11,SHT,0.9186994589413832
User 11,SHT,0.9212156959640196
User 11,SHT,0.9139173689493075
User 11,SHT,0.9057427294441375
User 11,SHT,0.9200623192702435
User 11,SHT,0.9294844451591913
User 11,SHT,0.9292570080550416
User 11,SHT,0.9190971693719296
User 11,SHT,0.911243415078282
User 11,SHT,0.917988717230148
User 11,SHT,0.9034719289135791
User 11,SHT,0.9218486351377785
User 11,SHT,0.9210987177052722
User 11,SHT,0.920925596262515
User 11,SHT,0.8969229433500908
User 11,SHT,0.924596030589536
User 11,SHT,0.918682818426027
User 11,SHT,0.912242915304868
User 11,SHT,0.9208790913501916
User 11,SHT,0.9184418258909093
User 11,SHT,0.9107789555170442
User 11,SHT,0.9125159177911205
User 11,SHT,0.9225950962021761
User 11,SHT,0.9192977905810585
User 11,SHT,0.9216781853063309
User 11,SHT,0.9208520995420355
User 11,SHT,0.9020432153092567
User 11,SHT,0.9240390053250072
User 12,SHT,0.9280165531739684
User 12,SHT,0.9417546733615082
User 12,SHT,0.9463592399414832
User 12,SHT,0.9481551429086407
User 12,SHT,0.9425114502223421
User 12,SHT,0.9416014007293347
User 12,SHT,0.9368594648168675
User 12,SHT,0.9434909203723821
User 12,SHT,0.9567517941885662
User 12,SHT,0.9393937838850257
User 12,SHT,0.9244029435644134
User 12,SHT,0.9461201338418214
User 12,SHT,0.9397882329929187
User 12,SHT,0.9371805229325025
User 12,SHT,0.9412998991954045
User 12,SHT,0.9541054278659565
User 12,SHT,0.9411637166434278
User 12,SHT,0.9359913650092342
User 12,SHT,0.9365691976893957
User 12,SHT,0.93883517421513
User 12,SHT,0.9422465197833529
User 12,SHT,0.9366966314082288
User 12,SHT,0.952724383094347
User 12,SHT,0.9354416478986611
User 12,SHT,0.927594310869068
User 12,SHT,0.9397581188186874
User 12,SHT,0.9481949170173988
User 12,SHT,0.9388120296145219
User 12,SHT,0.9471538100884989
User 12,SHT,0.9316941595393947
User 12,SHT,0.9467976510338495
User 12,SHT,0.9477618139891065
User 12,SHT,0.9416671611636241
User 12,SHT,0.9229588491317638
User 12,SHT,0.9560623602489954
User 12,SHT,0.943962130448798
User 12,SHT,0.9395582386883099
User 12,SHT,0.9469260898945766
User 12,SHT,0.9255031922989881
User 12,SHT,0.9362123860889784
User 12,SHT,0.9415553999730619
User 12,SHT,0.9484450613390332
User 12,SHT,0.9530348318555824
User 12,SHT,0.9459875585071429
User 12,SHT,0.9303776389617334
User 12,SHT,0.9335647737883888
User 12,SHT,0.9417788085047487
User 12,SHT,0.9442117455165836
User 12,SHT,0.9410343566306191
User 12,SHT,0.9338832799330187
User 12,SHT,0.9429183574371887
User 12,SHT,0.9294473562315532
User 13,SHT,0.9470239976282079
User 13,SHT,0.9249650355920936
User 13,SHT,0.9300830916930449
User 13,SHT,0.9396085964749362
User 13,SHT,0.927029685121427
User 13,SHT,0.9283205359874328
User 13,SHT,0.9326830956887521
User 13,SHT,0.9427153851262335
User 13,SHT,0.9475181232410537
User 13,SHT,0.9425382306192662
User 13,SHT,0.920770385939039
User 13,SHT,0.9452063259407593
User 13,SHT,0.9413097702151128
User 13,SHT,0.9240867955048813
User 13,SHT,0.9428036844968969
User 13,SHT,0.9332635035297856
User 13,SHT,0.9396609380086598
User 13,SHT,0.9352464751601273
User 13,SHT,0.9390856081369697
User 13,SHT,0.9379467849918518
User 13,SHT,0.9271574361837703
User 13,SHT,0.9348509632737565
User 13,SHT,0.9379532126278554
User 13,SHT,0.932536146960394
User 13,SHT,0.9223470035685135
User 13,SHT,0.9039785853925585
User 13,SHT,0.9326604880479483
User 13,SHT,0.9360666414753432
User 13,SHT,0.9275044792376321
User 13,SHT,0.9312844683315659
User 13,SHT,0.930026602698563
User 13,SHT,0.9406916292369971
User 13,SHT,0.9385492532195858
User 13,SHT,0.9291060942549408
User 13,SHT,0.9315982739178355
User 13,SHT,0.930118962404885
User 13,SHT,0.9434760806896503
User 13,SHT,0.9505713593412289
User 13,SHT,0.9292103219503781
User 13,SHT,0.9531162603695799
User 13,SHT,0.9342528223942574
User 13,SHT,0.9378840823659333
User 13,SHT,0.9366459850374234
